Sgms2
Ly6d
Ighvq52.3.8
Cybb
EG434025  // EG434025
Rasgrp3
Gata3
4933426M11Rik
AA408296
Trp53inp1
Mmp19
Igk-V21-2
Igj
Derl3
Igh  // Igh
Camp
Il1rl1
Naip3
Wipi1
4833408A19Rik
Edem1
F630201L12Rik
Klrb1b
Thy1
Grn
Hepacam2
LOC100047053
4731417B20Rik
Il2rb
Ighv1-72
BC060267
OTTMUSG00000024777
Fcgr3
Txndc5
Ltf
Sec24d
3300001P08Rik
Pou2af1
IghmAC38.205.12
Atp6v0a1
Cdk5rap1
Pdia4
Ly6c1
Sel1l
Cebpe
LOC100046350
Ostc
Xbp1
Mpo
Il5ra
Pkn2
2010001M09Rik
Gcap14
Ap3s1
Ly6c2
Fam46c
Ccr10
AI451557
Ikbkb
Cd7
Ctsg
BC005685
ENSMUSG00000076543
EG668492
Ell2
Lgals1
Pgam2
Sytl2
Igk-V1
Fam53b
Hsd11b1
Styxl1
Cd5l
Snord96a
Gm459
Igl-V1
Clec4e
Hsp90b1
Fcrl6
Pak2
Xcl1
4930470P17Rik
EG633457
Mettl7b
Itch
A930024E05Rik
Uba5
LOC630837
Herpud1
6330407A03Rik
Aldh3b1
Trub1
Cacna1e
Ankrd58
Ypel5
Akap12
Prdm1
Pasd1
Smarcc1
Gcgr
Ssr4
Rab44
LOC629793
Ela2
Ube2j1
Slc17a5
Tmem20
Pi4ka
Hccs
Nfkb1
Calr
Prg2
Vasn
Cntn5
ENSMUSG00000073488
Calca
Letmd1
St6galnac3
Itga4
Igl-V2
Klrb1f
Hp
Plac8
Lrrn1
LOC100046894
Ikzf2
ENSMUSG00000051848
Ddx39
Ppp2r1b
Kit
Igh
Rab4a
EG667683
Tirap
Tmem62
Olfr980
Htt
Sell
Ankrd23
Cabp1
Nupl1
Krtcap2
Ghrl
Zfp623
Ly6k
4932425I24Rik
ENSMUSG00000076563
Slamf7
Snapc3
Wdr51b
Gatm
Hnrnpu
Folr1
Cd79a
Cpa3
Micall1
Cd97
Dak
Prpf4
B230217C12Rik
Ifna7
I830077J02Rik
A430078G23Rik
Pes1
Slc36a1
Ak5
LOC435333
N4bp2l2
Rasgrp1
Hyou1
2310004I24Rik
0610010E21Rik
Cd48
Cnot6l
Mre11a
1700108M19Rik
Zfp11
Ankzf1
Hivep2
C1qtnf2
Syngr2
4930412M03Rik
Mapre2
LOC435333  // LOC435333  // LOC435333  // LOC435333  // LOC435333  // LOC435333
Tc2n
Igk  // Igk
Fto
Syk
Dennd3
Gbp4
Ascc2
Olfr860
Bmp2
F2rl2
Nf1
Tor1b
Eif1a
Il7r
Igk
Setbp1
Stk40
Tcrg-V3
Prlr
Chst1
Cd74
Csf2
Butr1
BC049730
Pls1
Asgr1
Ido1
Ctss
Sbno1
Rlim
Ly6e
Pik3c3
Rexo2
Glis2
Icos
Cry1
ENSMUSG00000073728
Blnk
Tcl1b3
Spag9
Thumpd2
11-Sep
Ticam1
Acot5
06-Sep
Cacna1h
Tmsb4x
Gpm6b
Gm1419
Pole3
Rrp1b
Elp2
Zp4
Fbxo2
Irf4
Rtn3
Kcnh1
BC057170
Dusp11
Rnf38
08-Mar
Slc11a2
Huwe1
Gpr116
Ptprc
Dync1li2
Tyrobp
V1rh4
Sh2b1
Arhgap15
Klhl1
2310079G19Rik
Tfb1m
Spcs3
Olfr640
Rarg
Slc5a4b
Isg20
Nfatc3
Stx3
EG333669
Fgf2
Aldh1l2
Hoxd13
4922502D21Rik
Cyp11b1
Ergic1
Steap4
Cdh2
Ttll8
Plac1l
Dppa5a
Trmt5
R3hdm1
Krt80
Selm
Tmtc3
Ccdc125
Ms4a6c
Pabpc1
Tgtp
Ets1
2410022L05Rik
Nlgn2
Dbil5
Mrps2
Naip5
Ppp2r2a
Tmem134
Eaf2
Nrp2
C1qc
Tmem97
Cela3b
Fcnb
Ms4a6b
Ncr1
