Ccl3
Birc7
Rgl1
Kynu
Gcet2
H2afy
Fbxo32
Hmox2
Hmg20a
Apbb3
Cd93
Arap2
OTTMUSG00000000971
Il1r1
Dhrs3
Bend6
Expi
Myof
Gdi2
Tcf4
Lims1
Cnn3
Hlcs
LOC100040329
Gpr171
Igf2r
1810020O05Rik
Hoxa9
4833424O15Rik
Sema3d
E330009P21Rik
Pdcl3
ENSMUSG00000057445
Mapkapk5
Sqrdl
Kbtbd11
Ddx4
Timm23
Ncf1
Atp6v1g3
5430427O19Rik
1700042B14Rik
Tmcc3
Tnf
Mcoln2
Ift81
Cdkl3
Morf4l2
Slc30a4
1110059E24Rik
Serpinb3d
Cdc2l6
Hamp
Cd200
Abt1
Wdr49
A430093F15Rik
Cyp2j9
Mctp2
Kcne3
1200009F10Rik
AA467197
Gins3
Tle4
Taf11
Arhgef3
Pink1
Siae
Dync2li1
Oas1c
Copb1
OTTMUSG00000007648
EG330305
Dntt
Acot1
Epb4.1l3
Maml3
Opalin
Rarres2
Vit
Lmo2
Sec23b
Gas6
Gm1966
EG667622
Btla
1810043G02Rik
Lce3b
Stag3
Capn2
Ccdc91
Svs5
Mpnd
Pik3r1
Flt3
H2-DMb2
Sec22b
Tef
Vat1
Supt4h1
2310007F21Rik
Arhgap24
Cdk2ap1
Tceal3
4921528I07Rik
Cyth4
LOC100134990
Fam114a2
Inadl
Txndc15
Gbe1
Rab3b
Gatsl3
Olfr1234
ENSMUSG00000052236
Top1mt
Dnmbp
Capns1
2610018G03Rik
Thra
Tox3
Sft2d1
Rasa4
Il12a
1700113i22rik
Eid1
Ada
Irf9
Pbsn
Pcdhb17
Hebp1
Dgkb
Jmjd8
Camsap1l1
Slc25a4
Alcam
Gm106
Lrrc68
Speer1-ps1
Arf4
Arhgap9
EG623849
Olfr114
Sox12
Prkx
Rbbp7
B4galt4
Fmnl2
Prdm9
Map4k4
Insig1
Mpeg1
Slc10a7
Gimap7
Tspyl2
Tbc1d24
Taf5l
Fam38b2
9030619P08Rik
Olfr350
Prss1
Eri3
Ndufs2
Egln1
Tsc2
Bex6
Tatdn3
BC019943
Cnn2
Ttll11
Pdcd2
Nme4
Prex2
Ube2q1
Dnaja2
Apol7e
Pi4k2b
Lpar1
Theg
Paf1
Pcca
Adh5
Sccpdh
Tmem208
8430406I07Rik
Ambp
Oxsm
Aldh1b1
Tcfap2a
Katnal1
Ap1s2
Wdr6
Lax1
Maf1
Magee1
Lsp1
Thrb
G3bp2
100041306
1110028C15Rik
Ly9
Bcs1l
Enkur
Mettl7a1
Defb43
Dnajb6
Rnf214
Lgi3
Slc39a11
Dmp1
Olfr297
Acy3
Fnbp4
P2ry14
H2-Ob
Fbxo21
Hbb-bh1
Aldh1l1
Tnip3
Prkcd
Dock2
Sesn1
Xlr3c
Usp11
Ckt2
Rpl19
Tspan2
Fbxw4
Bcl6
Nr0b1
Sestd1
Tceal6
Procr
Tspyl1
Ctsa
Xlr3b
ENSMUSG00000055181
Arl8b
BC055004
Olfr1423
Limk1
Fam48a
Il15ra
Olfr574
Rab40c
Efcab4b
H3f3a
Defb41
Prpf6
Drg1
Mtss1
Crispld1
Rnpep
Obfc1
Apol7b
Ms4a6d
Arl6ip4
Agps
Satb1
Zfp295
Zfp85-rs1
Sunc1
Vps26b
Hdac9
Rnf149
Rnf130
LOC665703
Cd34
Gem
Atp1a3
Tnni2
Cnp
Gng10
Arih1
Mmaa
Zfp106
Fam114a1
Tanc2
Nsfl1c
EG209380
Emp1
Pfkfb1
Bco2
Srl
Crybg3
Slc39a7
4930432K09Rik
Defa5  // Defa5  // Defa5
Gm884
Mbtps1
Zc3h7b
Map3k8
