Fzd3
Lhcgr
Kif21a
Pabpc4l
Abcg3
Dlg2
Arhgap29
Mmrn1
Ctnnal1
Nckap1
Itm2a
Akap7
Tbxas1
Fam110c
Evi1
Tek
Gbp4
Slc6a15
Tnip3
Plxdc2
4930470H14Rik
Rapgef4
Myom1
Lrrc66
Lrch2
9930014A18Rik
Trpc6
Ptn
Eya2
Anpep
Adarb1
Cldn12
OTTMUSG00000004461
Plscr4
Fstl1
1700029J07Rik
Bex4
ENSMUSG00000055181
ENSMUSG00000073019
Cc2d2a
Gbp2
Nbea
Arhgef6
Mboat2
Cish
Gsta4
Fam18b
Fech
Cmas
Bpgm
Klhl4
Mllt3
Prex2
Marveld2
Wdr19
Mageh1
F11r
Bex1
Iigp1
Fam110a
Prkcq
Nap1l3
Mtss1l
Stau2
Abca5
Itga6
Vegfc
Rex2
Emcn
Pctk3
P2rx1
Kdelc2
Cadps2
Arhgap12
Slamf1
Enpp4
Pdcd6
Aldh1a1
Slc27a6
Pftk1
Cysltr2
Grb10
Tie1
Mras
Mtap9
Mamdc2
Rell2
Ccdc28a
Dsel
Ptger3
Ehbp1
Sfrs12ip1
D14Ertd668e
Lgals8
Pdk3
Plag1
Prcp
Pja2
Ric3
Fam49a
Cdkl5
Epcam
Treml2
Klf12
Acy3
Eng
Ptplad2
Pafah1b2
Sema4b
Inadl
Myh10
Fads3
Zfp248
Jam3
Pkdrej
Tceal1
Rbl2
Sorbs1
Plod2
Pgrmc1
Ddx50
Spire1
Enox2
Mmp16
Zc3h12b
Esam
Gkap1
Myct1
Psmf1
Pla2g16
Fam171b
5730469M10Rik
Tsga14
2010011I20Rik
Slc41a1
Cyp4v3
Parp12
Golph3l
1110032A03Rik
Polr2b
Fkbp9
Slc24a5
Ube1l
H1f0
Usp54
Snx25
Pdxdc1
Lrrc49
Dpy19l3
Ppap2b
Ccdc46
1110020G09Rik
Tgfb3
Ccdc62
Tmbim1
Krt18
Cbr3
Magee1
Lrrc9
Itsn1
Ttc8
2310057J16Rik
Slc35f2
EG240327
Fut10
Rcor2
Mansc1
Rnf113a2
Acox1
Wbscr27
Palld
OTTMUSG00000005523
Irgm2
Fads1
Cryz
Tfb1m
Rhobtb3
H2-T22
Arl4a
OTTMUSG00000009332
Rai14
Ptpn21
Trim21
Rg9mtd1
Zfp637
Tmem67
Abcg2
Cyp2j6
Vipr2
Myof
Stard4
Sytl5
Lpin1
Csgalnact1
Gng11
Zdhhc17
Gata3
Npr2
Mpa2l
Etv3
Shroom4
Serpina3f
Gramd1c
Ift81
Lonp2
Ptgs1
Fnbp1l
Prkag2
Rufy2
Zfp455
Mpl
ENSMUSG00000058736
Clstn3
Ppp1r13b
Igf2bp2
Rpl7
Ndrg3
Rasgef1b
Robo4
Sbf2
Il22ra2
Tgfbr3
Ccl27a
Aldoc
Arl15
Tmem40
St6galnac3
Erp27
Slc18a2
E2f5
Srr
Mfng
Dctn4
Pomt2
Zfp26
Plekha5
Adipor2
Raver2
Ap3b1
Rab12
Mat2b
Adam22
Fads2
Tceal5
Mettl7a1
Stat4
Dynlt3
Crispld1
Dock1
BC057079
Srgap3
Pon3
Nedd4
Ccl19
Fntb
Khdrbs3
Ghr
Tom1l1
Vps39
Ccdc122
Il7
Sepp1
Arsk
Trim47
Frmd4b
Cd99l2
Timp3
Plk2
Ctso
Rnf14
Txnl1
Txnrd3
Slc30a4
Ahi1
Ppic
Vdr
Serinc1
Eepd1
Ctsf
Maged2
Ptpn14
Aida
Tfpi
Lrp12
Naip5
Prdx6
Stau1
Cav2
Spg20
Ifih1
Snx6
Iqcb1
Vsig2
Acss3
Etv5
Anxa4
Sox6
Phkb
Car2
Casp12
Xk
Tnfrsf18
Mettl3
