Pf4
Clca1
Hist1h4d
Aspm
Pigw
Chadl
Hist1h4m
Sec14l2
Fhl1
Gpr113
Kif4
Mad2l1
Elfn1
Gm1964
Adamts5
Tpx2
Plxnc1
ENSMUSG00000072833
Zfpm1
Ppm1g
Rgs14
Tulp1
Rad23a
Adra1a
Gm128
Sgms1
Ckap2l
Odz4
Nuf2
BC049807
F7
Hist2h3c1
Klc3
Mpp2
2310061C15Rik
Adcyap1
Olfr1044
H2afx
Hist1h2ba
Atox1
Gatad2a
F2r
Kcnk2
Bola2
2410022M11Rik
Ckap2
Pbx1
Lphn3
Tlx2
Bmp6
Fras1
BC048355
Hist1h4b
ENSMUSG00000066938
Olfr967
Hist2h3b
Spc24
Mars
Hist4h4
Onecut3
Lipn
Rnaseh2c
Oaf
Mrps18a
1700019A02Rik
Pcdh7
Birc5
Sec14l1
Casc5
Hmmr
Depdc1a
Has2
Cnksr2
Slfnl1
Cdc2a
Col4a2
Mki67
Hist1h2bp
Cchcr1
Cdc7
Mocs3
LOC100041230
Trfr2
F630111L10Rik
E2f1
6430573F11Rik
Il9
H2-gs10  // H2-gs10
Glt25d2
Apoe
Ptprg
EG384356
Sh3pxd2b
Mrpl28
Dpep1
Glp1r
LOC638798
Zfp639
Nt5dc2
Wdr52
Ky
Dlgap5
Mastl
Inhba
Jakmip2
Whamm
Plk1
Btnl1
Hoxa10
Cox6b2
Rspo4
Raly
Ppp1r14a
Actl7a
Nusap1
Kpna2
OTTMUSG00000010547
ENSMUSG00000056729
Traf4
Gas2l3
1700110M21Rik
Gata1
LOC674122
OTTMUSG00000005773
Dut
Micall2
Ccna2
BC066135
Enox1
Pygo2
Gp9
Cd55
Dach1
Vars
Zfp598
Hist1h4f
Atp12a
Gfi1b
Gm813
Slc7a4
Gprin1
Tmem141
Tuba8
Frrs1
Icam4
Myom3
Haus8
ENSMUSG00000063611
Hist1h4i
Maz
Gphb5
Hist1h3a
Olfr992
1700065I17Rik
Hist1h1a
Mycs
Trim54
Hirip3
ENSMUSG00000002791
Tgm1
Kcnt1
Epha8
Pcgf1
Nol6
Uts2
Incenp
Prc1
Hemgn
4933400A11Rik
P2rx1
Zfp318
Fmc1
P2ry1
9530015I07Rik
Hinfp
Afap1l2
V1rf3
OTTMUSG00000024895
Angptl7
Gm101
OTTMUSG00000006556
Fbxw19
2410002O22Rik
Smoc2
Fgf12
ENSMUSG00000074517
ENSMUSG00000072677
Cbln1
Stab1
Ppp1r13l
OTTMUSG00000015762
Mett5d1
Gp5
Tas2r119
Syngr4
Pgc
Nanos1
ENSMUSG00000057802
Hey2
EG666730
4833418N17Rik
Ppat
Asphd1
Cd300lg
Bsnd
Gclm
Tgfbr3
EG636070  // EG636070
Trim38
Prmt7
Gadd45g
Tll1
Fam131c
4932441B19Rik
Wnt6
Nags
Trim17
Olfr1475
Ferd3l
Tardbp
Diap1
Lipi
Rnf207
Scap
Tdrkh
Slc26a5
Pcnxl2
Robld3
Sdcbp2
Ceacam20
Olfr417
Wfdc3
Olfr633
Fbrs
Dynll2
Atpbd3
Hist1h3g
Rabepk
Rltpr
4930556L07Rik
Polr2e
Abcb11
Spef1
Eps8l3
Nlrp2
Rbm42
Nrarp
Klk15
Ceacam13
Olfr1513
Ube2c
Yaf2
Aff2
Slc14a1
Itih1
Tcfap2e
Sult1a1
Nbl1
H2afz
A2bp1
Adamts7
Bbs1
EG623166
Fam179a
Npas1
Hoxb2
Ocel1
9330158H04Rik
Ccdc127
Fbxo39
Cdkn3
Olfr116
Mc1r
Esx1
Myo15
1110006O24Rik
Melk
Pgp
A730045E13Rik
Klhl8
Dcdc2a
Kctd13
OTTMUSG00000010432
A430057M04Rik
Hist1h3f
1110001A07Rik
Fam54a
E130306D19Rik
0610025J13Rik
1110020G09Rik
Tbr1
EG622645
EG665772
B4galt7
Hnrnpa0
Htr3a
Litaf
G730046D07Rik
EG383032  // EG383032
Slc2a4
Mepe
